run_id,timestamp,trip_id,bus_id,distance_km,event,aux_km,headway_sec
1,05:59:58,101,INT-501,0,DEPARTURE,,
1,06:39:51,102,INT-502,0,DEPARTURE,,
1,06:42:21,101,INT-501,12.286,BREAKDOWN,15,
1,06:45:24,101,INT-501,12.286,REPAIRED,15,
1,07:05:53,101,INT-501,20.075,CHECKPOINT,,
1,07:10:36,101,INT-501,22.372,BREAKDOWN,20,
1,07:13:06,101,INT-501,22.372,REPAIRED,20,
1,07:19:44,103,INT-503,0,DEPARTURE,,
1,07:42:44,102,INT-502,20.075,CHECKPOINT,,2210.46
1,07:44:40,101,INT-501,33.912,BREAKDOWN,30,
1,07:52:42,101,INT-501,33.912,REPAIRED,30,
1,07:59:54,104,INT-504,0,DEPARTURE,,
1,08:06:33,101,INT-501,38,ARRIVAL,,
1,08:10:42,102,INT-502,31.852,BREAKDOWN,30,
1,08:10:42,102,INT-502,31.852,REPAIRED,30,
1,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
1,08:29:49,102,INT-502,37.247,BREAKDOWN,30,
1,08:34:15,104,INT-504,9.899,BREAKDOWN,7,
1,08:39:48,105,INT-505,0,DEPARTURE,,
1,08:40:21,104,INT-504,9.899,REPAIRED,7,
1,08:50:19,102,INT-502,37.247,REPAIRED,30,
1,08:53:22,102,INT-502,38,ARRIVAL,,2808.78
1,09:03:54,104,INT-504,18.367,BREAKDOWN,20,
1,09:04:43,104,INT-504,18.367,REPAIRED,20,
1,09:09:43,104,INT-504,20.075,CHECKPOINT,,2825.4
1,09:12:45,103,INT-503,38,ARRIVAL,,1163.4
1,09:19:57,106,INT-506,0,DEPARTURE,,
1,09:42:40,105,INT-505,20.075,CHECKPOINT,,1977.78
1,09:52:05,105,INT-505,23.739,BREAKDOWN,20,
1,09:56:48,105,INT-505,23.739,REPAIRED,20,
1,09:59:51,104,INT-504,38,ARRIVAL,,2825.4
1,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
1,10:29:12,106,INT-506,22.53,BREAKDOWN,20,
1,10:31:59,106,INT-506,22.53,REPAIRED,20,
1,10:37:31,105,INT-505,38,ARRIVAL,,2260.32
1,11:06:36,106,INT-506,34.918,BREAKDOWN,30,
1,11:18:31,106,INT-506,34.918,REPAIRED,30,
1,11:27:39,106,INT-506,38,ARRIVAL,,3008.22
2,05:59:58,101,INT-501,0,DEPARTURE,,
2,06:39:51,102,INT-502,0,DEPARTURE,,
2,07:02:51,102,INT-502,7.034,BREAKDOWN,7,
2,07:02:51,101,INT-501,20.075,CHECKPOINT,,
2,07:02:51,102,INT-502,7.034,REPAIRED,7,
2,07:19:44,103,INT-503,0,DEPARTURE,,
2,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
2,07:52:59,101,INT-501,38,ARRIVAL,,
2,07:59:54,104,INT-504,0,DEPARTURE,,
2,08:12:06,103,INT-503,16.431,BREAKDOWN,15,
2,08:12:06,103,INT-503,16.431,REPAIRED,15,
2,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
2,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
2,08:39:48,105,INT-505,0,DEPARTURE,,
2,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
2,09:12:45,103,INT-503,38,ARRIVAL,,2393.28
2,09:19:57,106,INT-506,0,DEPARTURE,,
2,09:27:26,104,INT-504,31.019,BREAKDOWN,30,
2,09:27:26,104,INT-504,31.019,REPAIRED,30,
2,09:28:49,106,INT-506,3.652,BREAKDOWN,7,
2,09:35:28,106,INT-506,3.652,REPAIRED,7,
2,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
2,09:52:55,104,INT-504,38,ARRIVAL,,2409.9
2,10:29:29,106,INT-506,20.075,CHECKPOINT,,2808.78
2,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
2,11:19:37,106,INT-506,38,ARRIVAL,,2808.78
3,05:59:58,101,INT-501,0,DEPARTURE,,
3,06:39:51,102,INT-502,0,DEPARTURE,,
3,07:02:51,101,INT-501,20.075,CHECKPOINT,,
3,07:19:44,103,INT-503,0,DEPARTURE,,
3,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
3,07:52:59,101,INT-501,38,ARRIVAL,,
3,07:59:54,104,INT-504,0,DEPARTURE,,
3,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
3,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
3,08:39:48,105,INT-505,0,DEPARTURE,,
3,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
3,09:12:45,103,INT-503,38,ARRIVAL,,2393.28
3,09:19:57,106,INT-506,0,DEPARTURE,,
3,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
3,09:52:55,104,INT-504,38,ARRIVAL,,2409.9
3,10:02:37,106,INT-506,12.409,BREAKDOWN,15,
3,10:05:23,106,INT-506,12.409,REPAIRED,15,
3,10:25:36,106,INT-506,20.075,CHECKPOINT,,2576.1
3,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
3,11:15:45,106,INT-506,38,ARRIVAL,,2576.1
4,05:59:58,101,INT-501,0,DEPARTURE,,
4,06:39:51,102,INT-502,0,DEPARTURE,,
4,07:02:51,101,INT-501,20.075,CHECKPOINT,,
4,07:19:44,103,INT-503,0,DEPARTURE,,
4,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
4,07:52:59,101,INT-501,38,ARRIVAL,,
4,07:59:54,104,INT-504,0,DEPARTURE,,
4,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
4,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
4,08:39:48,105,INT-505,0,DEPARTURE,,
4,08:42:34,103,INT-503,27.874,BREAKDOWN,30,
4,08:43:40,103,INT-503,27.874,REPAIRED,30,
4,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
4,09:13:52,103,INT-503,38,ARRIVAL,,2459.76
4,09:18:51,105,INT-505,11.35,BREAKDOWN,15,
4,09:19:57,106,INT-506,0,DEPARTURE,,
4,09:23:50,105,INT-505,11.35,REPAIRED,15,
4,09:47:39,105,INT-505,20.075,CHECKPOINT,,2692.44
4,09:52:55,104,INT-504,38,ARRIVAL,,2343.42
4,10:22:50,106,INT-506,20.075,CHECKPOINT,,2110.74
4,10:37:48,105,INT-505,38,ARRIVAL,,2692.44
4,11:12:58,106,INT-506,38,ARRIVAL,,2110.74
5,05:59:58,101,INT-501,0,DEPARTURE,,
5,06:39:51,102,INT-502,0,DEPARTURE,,
5,06:53:59,101,INT-501,17.187,BREAKDOWN,15,
5,06:55:38,101,INT-501,17.187,REPAIRED,15,
5,07:04:30,101,INT-501,20.075,CHECKPOINT,,
5,07:19:44,103,INT-503,0,DEPARTURE,,
5,07:32:29,103,INT-503,4.601,BREAKDOWN,7,
5,07:36:22,103,INT-503,4.601,REPAIRED,7,
5,07:42:44,102,INT-502,20.075,CHECKPOINT,,2293.56
5,07:54:39,101,INT-501,38,ARRIVAL,,
5,07:59:54,104,INT-504,0,DEPARTURE,,
5,08:26:30,103,INT-503,20.075,CHECKPOINT,,2625.96
5,08:32:52,102,INT-502,38,ARRIVAL,,2293.56
5,08:39:48,105,INT-505,0,DEPARTURE,,
5,09:01:41,105,INT-505,6.816,BREAKDOWN,7,
5,09:01:41,105,INT-505,6.816,REPAIRED,7,
5,09:02:47,104,INT-504,20.075,CHECKPOINT,,2177.22
5,09:16:38,103,INT-503,38,ARRIVAL,,2625.96
5,09:19:57,106,INT-506,0,DEPARTURE,,
5,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
5,09:52:55,104,INT-504,38,ARRIVAL,,2177.22
5,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
5,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
