run_id,timestamp,trip_id,bus_id,distance_km,event,aux_km,headway_sec
1,05:59:58,101,INT-501,0,DEPARTURE,,
1,06:39:51,102,INT-502,0,DEPARTURE,,
1,06:42:21,101,INT-501,12.286,BREAKDOWN,0,
1,07:19:44,103,INT-503,0,DEPARTURE,,
1,07:20:18,101,INT-501,12.286,REPAIRED,0,
1,07:37:28,103,INT-503,5.653,BREAKDOWN,0,
1,07:40:48,101,INT-501,20.075,CHECKPOINT,,
1,07:42:44,102,INT-502,20.075,CHECKPOINT,,116.34
1,07:47:43,103,INT-503,5.653,REPAIRED,0,
1,07:59:54,104,INT-504,0,DEPARTURE,,
1,08:29:49,104,INT-504,8.659,BREAKDOWN,0,
1,08:30:56,101,INT-501,38,ARRIVAL,,
1,08:32:52,103,INT-503,20.075,CHECKPOINT,,3008.22
1,08:32:52,102,INT-502,38,ARRIVAL,,116.34
1,08:39:48,105,INT-505,0,DEPARTURE,,
1,08:53:55,104,INT-504,8.659,REPAIRED,0,
1,09:19:57,106,INT-506,0,DEPARTURE,,
1,09:23:00,103,INT-503,38,ARRIVAL,,3008.22
1,09:26:53,104,INT-504,20.075,CHECKPOINT,,3240.9
1,09:42:40,105,INT-505,20.075,CHECKPOINT,,947.34
1,09:55:41,105,INT-505,25.357,BREAKDOWN,0,
1,10:17:01,104,INT-504,38,ARRIVAL,,3240.9
1,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
1,10:40:51,106,INT-506,27.643,BREAKDOWN,0,
1,11:08:49,105,INT-505,25.357,REPAIRED,0,
1,11:21:17,105,INT-505,31.159,BREAKDOWN,0,
1,11:58:41,106,INT-506,27.643,REPAIRED,0,
1,12:30:49,106,INT-506,38,ARRIVAL,,8027.46
1,12:46:19,105,INT-505,31.159,REPAIRED,0,
1,13:10:25,105,INT-505,37.906,BREAKDOWN,0,
1,14:58:27,105,INT-505,37.906,REPAIRED,0,
1,14:59:00,105,INT-505,38,ARRIVAL,,8891.7
2,05:59:58,101,INT-501,0,DEPARTURE,,
2,06:39:51,102,INT-502,0,DEPARTURE,,
2,07:02:51,102,INT-502,7.034,BREAKDOWN,0,
2,07:02:51,101,INT-501,20.075,CHECKPOINT,,
2,07:14:29,101,INT-501,24.624,BREAKDOWN,0,
2,07:19:44,103,INT-503,0,DEPARTURE,,
2,07:20:34,102,INT-502,7.034,REPAIRED,0,
2,07:31:39,102,INT-502,9.826,BREAKDOWN,0,
2,07:59:54,104,INT-504,0,DEPARTURE,,
2,08:00:44,102,INT-502,9.826,REPAIRED,0,
2,08:22:37,103,INT-503,20.075,CHECKPOINT,,4786.56
2,08:24:50,104,INT-504,7.54,BREAKDOWN,0,
2,08:26:13,101,INT-501,24.624,REPAIRED,0,
2,08:29:33,102,INT-502,20.075,CHECKPOINT,,415.5
2,08:39:48,105,INT-505,0,DEPARTURE,,
2,08:44:47,104,INT-504,7.54,REPAIRED,0,
2,09:04:43,101,INT-501,38,ARRIVAL,,
2,09:12:45,103,INT-503,38,ARRIVAL,,481.98
2,09:19:41,102,INT-502,38,ARRIVAL,,415.5
2,09:19:57,106,INT-506,0,DEPARTURE,,
2,09:22:44,104,INT-504,20.075,CHECKPOINT,,3191.04
2,09:42:40,105,INT-505,20.075,CHECKPOINT,,1196.64
2,10:11:12,106,INT-506,16.055,BREAKDOWN,0,
2,10:12:52,104,INT-504,38,ARRIVAL,,3191.04
2,10:17:01,105,INT-505,33.194,BREAKDOWN,0,
2,10:59:41,106,INT-506,16.055,REPAIRED,0,
2,11:11:19,106,INT-506,20.075,CHECKPOINT,,5318.4
2,11:47:03,105,INT-505,33.194,REPAIRED,0,
2,12:01:27,106,INT-506,38,ARRIVAL,,6515.04
2,12:02:50,105,INT-505,38,ARRIVAL,,83.1
3,05:59:58,101,INT-501,0,DEPARTURE,,
3,06:39:51,102,INT-502,0,DEPARTURE,,
3,07:02:51,101,INT-501,20.075,CHECKPOINT,,
3,07:19:44,103,INT-503,0,DEPARTURE,,
3,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
3,07:52:59,101,INT-501,38,ARRIVAL,,
3,07:59:54,104,INT-504,0,DEPARTURE,,
3,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
3,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
3,08:39:48,105,INT-505,0,DEPARTURE,,
3,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
3,09:12:45,103,INT-503,38,ARRIVAL,,2393.28
3,09:19:57,106,INT-506,0,DEPARTURE,,
3,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
3,09:52:55,104,INT-504,38,ARRIVAL,,2409.9
3,10:02:37,106,INT-506,12.409,BREAKDOWN,0,
3,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
3,10:41:07,106,INT-506,12.409,REPAIRED,0,
3,11:01:20,106,INT-506,20.075,CHECKPOINT,,4720.08
3,11:51:29,106,INT-506,38,ARRIVAL,,4720.08
4,05:59:58,101,INT-501,0,DEPARTURE,,
4,06:39:51,102,INT-502,0,DEPARTURE,,
4,07:02:51,101,INT-501,20.075,CHECKPOINT,,
4,07:19:44,103,INT-503,0,DEPARTURE,,
4,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
4,07:52:59,101,INT-501,38,ARRIVAL,,
4,07:59:54,104,INT-504,0,DEPARTURE,,
4,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
4,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
4,08:39:48,105,INT-505,0,DEPARTURE,,
4,08:42:34,103,INT-503,27.874,BREAKDOWN,0,
4,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
4,09:16:38,105,INT-505,10.71,BREAKDOWN,0,
4,09:19:57,106,INT-506,0,DEPARTURE,,
4,09:49:19,105,INT-505,10.71,REPAIRED,0,
4,09:52:55,104,INT-504,38,ARRIVAL,,4803.18
4,10:00:41,103,INT-503,27.874,REPAIRED,0,
4,10:15:21,105,INT-505,20.075,CHECKPOINT,,4354.44
4,10:22:50,106,INT-506,20.075,CHECKPOINT,,448.74
4,10:30:52,103,INT-503,38,ARRIVAL,,2276.94
4,11:05:30,105,INT-505,38,ARRIVAL,,2077.5
4,11:12:58,106,INT-506,38,ARRIVAL,,448.74
5,05:59:58,101,INT-501,0,DEPARTURE,,
5,06:39:51,102,INT-502,0,DEPARTURE,,
5,06:53:59,101,INT-501,17.187,BREAKDOWN,0,
5,07:19:44,103,INT-503,0,DEPARTURE,,
5,07:42:44,102,INT-502,20.075,CHECKPOINT,,
5,07:44:57,101,INT-501,17.187,REPAIRED,0,
5,07:53:49,101,INT-501,20.075,CHECKPOINT,,664.8
5,07:59:54,104,INT-504,0,DEPARTURE,,
5,08:06:50,101,INT-501,25.357,BREAKDOWN,0,
5,08:22:37,103,INT-503,20.075,CHECKPOINT,,1728.48
5,08:32:52,102,INT-502,38,ARRIVAL,,
5,08:39:48,105,INT-505,0,DEPARTURE,,
5,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
5,09:12:45,103,INT-503,38,ARRIVAL,,2393.28
5,09:19:57,106,INT-506,0,DEPARTURE,,
5,09:19:57,101,INT-501,25.357,REPAIRED,0,
5,09:25:30,104,INT-504,30.116,BREAKDOWN,0,
5,09:39:54,105,INT-505,19.082,BREAKDOWN,0,
5,09:57:05,101,INT-501,38,ARRIVAL,,2659.2
5,10:22:50,106,INT-506,20.075,CHECKPOINT,,4803.18
5,10:35:51,105,INT-505,19.082,REPAIRED,0,
5,10:38:38,105,INT-505,20.075,CHECKPOINT,,947.34
5,10:44:10,105,INT-505,22.458,BREAKDOWN,0,
5,10:49:59,104,INT-504,30.116,REPAIRED,0,
5,11:03:50,104,INT-504,33.928,BREAKDOWN,0,
