run_id,timestamp,trip_id,bus_id,distance_km,event,aux_km,headway_sec
1,05:59:58,101,INT-501,0,DEPARTURE,,
1,06:39:51,102,INT-502,0,DEPARTURE,,
1,06:42:21,101,INT-501,12.286,BREAKDOWN,15,
1,06:45:24,101,INT-501,12.286,REPAIRED,15,
1,07:05:53,101,INT-501,20.075,CHECKPOINT,,
1,07:10:36,101,INT-501,22.372,BREAKDOWN,15,
1,07:19:44,103,INT-503,0,DEPARTURE,,
1,07:26:57,101,INT-501,22.372,REPAIRED,15,
1,07:32:46,103,INT-503,4.659,BREAKDOWN,0,
1,07:40:14,103,INT-503,4.659,REPAIRED,0,
1,07:42:44,102,INT-502,20.075,CHECKPOINT,,2210.46
1,07:49:56,101,INT-501,31.78,BREAKDOWN,30,
1,07:49:56,101,INT-501,31.78,REPAIRED,30,
1,07:59:54,104,INT-504,0,DEPARTURE,,
1,08:12:22,101,INT-501,38,ARRIVAL,,
1,08:30:06,103,INT-503,20.075,CHECKPOINT,,2842.02
1,08:32:52,102,INT-502,38,ARRIVAL,,1229.88
1,08:35:05,103,INT-503,22.411,BREAKDOWN,15,
1,08:39:48,105,INT-505,0,DEPARTURE,,
1,08:51:26,103,INT-503,22.411,REPAIRED,15,
1,09:02:47,104,INT-504,20.075,CHECKPOINT,,1961.16
1,09:11:06,103,INT-503,31.019,BREAKDOWN,30,
1,09:11:06,103,INT-503,31.019,REPAIRED,30,
1,09:19:57,106,INT-506,0,DEPARTURE,,
1,09:36:35,103,INT-503,38,ARRIVAL,,3822.6
1,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
1,09:50:09,106,INT-506,8.674,BREAKDOWN,15,
1,09:52:55,104,INT-504,38,ARRIVAL,,980.58
1,10:03:43,106,INT-506,8.674,REPAIRED,15,
1,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
1,10:35:18,106,INT-506,19.756,BREAKDOWN,15,
1,10:43:53,106,INT-506,19.756,REPAIRED,15,
1,10:45:00,106,INT-506,20.075,CHECKPOINT,,3739.5
1,11:30:42,106,INT-506,36.822,BREAKDOWN,30,
1,11:50:22,106,INT-506,36.822,REPAIRED,30,
1,11:54:48,106,INT-506,38,ARRIVAL,,4919.52
2,05:59:58,101,INT-501,0,DEPARTURE,,
2,06:39:51,102,INT-502,0,DEPARTURE,,
2,07:02:51,102,INT-502,7.034,BREAKDOWN,0,
2,07:02:51,101,INT-501,20.075,CHECKPOINT,,
2,07:14:29,101,INT-501,24.624,BREAKDOWN,30,
2,07:19:44,103,INT-503,0,DEPARTURE,,
2,07:20:34,102,INT-502,7.034,REPAIRED,0,
2,07:22:31,101,INT-501,24.624,REPAIRED,30,
2,07:29:26,102,INT-502,9.148,BREAKDOWN,15,
2,07:42:11,102,INT-502,9.148,REPAIRED,15,
2,07:59:54,104,INT-504,0,DEPARTURE,,
2,08:01:01,101,INT-501,38,ARRIVAL,,
2,08:13:12,102,INT-502,20.075,CHECKPOINT,,4221.48
2,08:17:55,102,INT-502,22.372,BREAKDOWN,15,
2,08:22:37,103,INT-503,20.075,CHECKPOINT,,565.08
2,08:34:15,102,INT-502,22.372,REPAIRED,15,
2,08:39:48,105,INT-505,0,DEPARTURE,,
2,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
2,09:12:45,103,INT-503,38,ARRIVAL,,4304.58
2,09:17:11,104,INT-504,25.879,BREAKDOWN,30,
2,09:19:41,102,INT-502,38,ARRIVAL,,415.5
2,09:19:57,106,INT-506,0,DEPARTURE,,
2,09:19:57,106,INT-506,0.14,BREAKDOWN,0,
2,09:19:57,106,INT-506,0.14,REPAIRED,0,
2,09:22:10,106,INT-506,1.196,BREAKDOWN,0,
2,09:22:10,106,INT-506,1.196,REPAIRED,0,
2,09:22:44,104,INT-504,25.879,REPAIRED,30,
2,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
2,09:58:28,104,INT-504,38,ARRIVAL,,2326.8
2,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
2,10:31:42,106,INT-506,23.449,BREAKDOWN,30,
2,10:32:49,105,INT-505,38,ARRIVAL,,2060.88
2,10:42:30,106,INT-506,23.449,REPAIRED,30,
2,11:23:47,106,INT-506,38,ARRIVAL,,3058.08
3,05:59:58,101,INT-501,0,DEPARTURE,,
3,06:39:51,102,INT-502,0,DEPARTURE,,
3,07:02:51,101,INT-501,20.075,CHECKPOINT,,
3,07:19:44,103,INT-503,0,DEPARTURE,,
3,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
3,07:52:59,101,INT-501,38,ARRIVAL,,
3,07:59:54,104,INT-504,0,DEPARTURE,,
3,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
3,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
3,08:39:48,105,INT-505,0,DEPARTURE,,
3,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
3,09:12:45,103,INT-503,38,ARRIVAL,,2393.28
3,09:19:57,106,INT-506,0,DEPARTURE,,
3,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
3,09:52:55,104,INT-504,38,ARRIVAL,,2409.9
3,10:02:37,106,INT-506,12.409,BREAKDOWN,15,
3,10:05:23,106,INT-506,12.409,REPAIRED,15,
3,10:25:36,106,INT-506,20.075,CHECKPOINT,,2576.1
3,10:32:49,105,INT-505,38,ARRIVAL,,2393.28
3,11:15:45,106,INT-506,38,ARRIVAL,,2576.1
4,05:59:58,101,INT-501,0,DEPARTURE,,
4,06:39:51,102,INT-502,0,DEPARTURE,,
4,07:02:51,101,INT-501,20.075,CHECKPOINT,,
4,07:19:44,103,INT-503,0,DEPARTURE,,
4,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
4,07:52:59,101,INT-501,38,ARRIVAL,,
4,07:59:54,104,INT-504,0,DEPARTURE,,
4,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
4,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
4,08:39:48,105,INT-505,0,DEPARTURE,,
4,08:42:34,103,INT-503,27.874,BREAKDOWN,30,
4,08:43:40,103,INT-503,27.874,REPAIRED,30,
4,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
4,09:13:52,103,INT-503,38,ARRIVAL,,2459.76
4,09:18:51,105,INT-505,11.35,BREAKDOWN,15,
4,09:19:57,106,INT-506,0,DEPARTURE,,
4,09:23:50,105,INT-505,11.35,REPAIRED,15,
4,09:47:39,105,INT-505,20.075,CHECKPOINT,,2692.44
4,09:52:55,104,INT-504,38,ARRIVAL,,2343.42
4,10:22:50,106,INT-506,20.075,CHECKPOINT,,2110.74
4,10:37:48,105,INT-505,38,ARRIVAL,,2692.44
4,11:12:58,106,INT-506,38,ARRIVAL,,2110.74
5,05:59:58,101,INT-501,0,DEPARTURE,,
5,06:39:51,102,INT-502,0,DEPARTURE,,
5,06:53:59,101,INT-501,17.187,BREAKDOWN,15,
5,06:55:38,101,INT-501,17.187,REPAIRED,15,
5,07:04:30,101,INT-501,20.075,CHECKPOINT,,
5,07:19:44,103,INT-503,0,DEPARTURE,,
5,07:32:29,103,INT-503,4.601,BREAKDOWN,0,
5,07:39:58,103,INT-503,4.601,REPAIRED,0,
5,07:42:44,102,INT-502,20.075,CHECKPOINT,,2293.56
5,07:54:39,101,INT-501,38,ARRIVAL,,
5,07:59:54,104,INT-504,0,DEPARTURE,,
5,08:14:19,103,INT-503,14.155,BREAKDOWN,15,
5,08:14:19,103,INT-503,14.155,REPAIRED,15,
5,08:30:06,103,INT-503,20.075,CHECKPOINT,,2842.02
5,08:32:52,102,INT-502,38,ARRIVAL,,2293.56
5,08:39:48,105,INT-505,0,DEPARTURE,,
5,09:02:30,105,INT-505,6.971,BREAKDOWN,0,
